Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
untamed	1.75	2	2	0.875	8	2,2,0,2,2,2,2,2
flammable	1.75	2	1	0.5	8	1,2,1,3,3,1,1,2
susceptible	1.75	2	2	0.75	8	1,2,1,2,2,2,2,2
stinking	1.75	2	2	0.75	8	2,2,2,1,1,2,2,2
abase	1.75	2	2	0.625	8	3,2,2,0,1,2,2,2
senility	1.75	2	2	0.75	4	2,2,1,2
mortification	1.75	2	3	0.375	8	1,2,0,3,2,3,0,3
irritability	1.75	2	2	0.75	8	2,1,2,2,2,2,2,1
polluter	1.75	2	2	0.583333333333333	12	2,2,2,2,2,3,1,2,1,2,1,1
colostomy	1.75	2	2	0.375	8	0,2,2,1,3,3,2,1
demented	1.75	2	2	0.875	8	2,2,0,2,2,2,2,2
hypersensitivity	1.75	2	2	0.75	4	2,2,1,2
spookiness	1.75	2	2	0.625	8	0,2,2,2,1,2,2,3
interrogate	1.75	2	2	0.75	8	2,2,1,2,2,2,2,1
injection	1.75	2	2	0.5	8	3,2,1,1,1,2,2,2
disreputable	1.75	2	2	0.75	8	2,1,2,2,2,2,2,1
baffle	1.75	2	3	0.5	8	1,0,0,1,3,3,3,3
bayonet	1.75	2	2	0.375	8	1,2,3,1,0,2,3,2
betrayer	1.75	2	2	0.75	8	2,2,2,2,2,1,1,2
demotion	1.75	2	2	0.75	4	2,2,1,2
rudely	1.75	2	2	0.75	4	2,1,2,2
lobotomize	1.75	2	3	0.5	8	0,3,2,0,0,3,3,3
loathe	1.75	2	1	0.5	8	3,1,2,1,1,1,3,2
unbalance	1.75	2	2	0.75	8	2,1,2,2,1,2,2,2
recurrent	1.75	2	3	0.5	8	0,1,0,1,3,3,3,3
intolerant	1.75	2	2	0.75	8	2,1,2,2,2,1,2,2
insincerity	1.75	2	2	0.5	8	1,2,2,2,3,2,1,1
cringe	1.75	2	2	0.5	8	1,2,2,2,2,1,3,1
squeezing	1.75	2	1	0.625	8	1,1,1,1,3,3,3,1
influenza	1.74	2	2	0.438202247191011	89	3,2,2,2,2,1,2,1,2,1,3,1,2,3,2,1,2,1,2,2,3,2,2,1,2,2,2,1,0,2,3,1,3,3,0,2,3,1,0,0,0,2,0,2,3,2,3,3,1,0,3,3,1,2,0,2,0,2,0,2,0,2,1,0,0,2,3,1,3,1,2,2,2,2,2,2,2,3,2,3,2,1,3,2,2,1,3,2,3
buoyancy	1.74	2	1	0.565217391304348	23	1,3,3,3,3,1,1,1,1,3,1,1,1,1,2,1,2,1,1,2,3,3,1
dastardly	1.73	2	2	0.445652173913043	92	3,2,1,2,3,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,3,2,1,1,2,2,3,2,2,2,2,1,2,2,1,2,2,1,1,2,3,2,3,1,1,1,2,1,2,3,2,1,2,3,1,2,2,3,2,1,2,3,2,1,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,3,2,2,2,2,1,3,2,2
pallbearer	1.73	2	2	0.466666666666667	15	2,2,2,3,2,1,2,1,2,1,1,3,1,1,2
wearisome	1.73	2	2	0.727272727272727	11	1,2,2,2,2,1,2,2,2,2,1
riskily	1.73	2	1	0.454545454545455	11	2,2,1,3,1,2,1,2,3,1,1
negativism	1.73	2	1	0.454545454545455	11	1,1,1,1,2,1,3,2,2,3,2
undersexed	1.73	2	3	0.363636363636364	11	3,3,0,3,1,0,3,1,2,1,2
ravish	1.73	2	2	0.727272727272727	11	2,2,2,2,2,2,2,1,1,2,1
crumbling	1.72	2	2	0.444444444444444	18	3,2,1,1,2,1,1,1,2,2,1,3,2,3,0,2,2,2
villain	1.72	2	1	0.336363636363636	110	1,3,2,3,2,2,2,1,2,2,3,2,1,1,1,1,1,2,2,1,3,2,1,2,1,1,3,1,2,1,2,1,2,1,2,2,2,1,0,3,2,2,2,3,1,1,2,0,1,1,3,1,0,2,0,1,2,3,3,1,0,2,1,2,1,3,2,3,3,2,1,3,2,3,0,1,3,0,1,3,1,3,0,1,0,2,1,3,3,3,1,3,1,3,3,3,2,0,1,3,3,0,2,1,2,3,2,2,1,1
dire	1.72	2	1	0.453703703703704	108	2,1,2,1,1,2,2,2,2,2,2,3,2,1,2,3,3,1,2,3,1,2,2,1,2,3,2,3,2,3,1,2,2,1,2,2,1,1,2,1,2,2,1,1,3,3,2,3,1,1,1,1,2,2,2,1,1,3,2,1,1,1,2,3,1,1,3,1,1,2,2,2,1,1,3,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,3,2,2,3,3,3,2
splatter	1.71	2	3	0.428571428571429	7	1,1,0,3,1,3,3
tremulously	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
misadventure	1.71	2	2	0.428571428571429	7	1,2,3,1,2,1,2
nervously	1.71	2	2	0.428571428571429	7	1,2,2,2,1,1,3
nauseous	1.71	2	2	0.571428571428571	7	2,2,0,1,3,2,2
nauseously	1.71	2	2	0.857142857142857	7	2,2,0,2,2,2,2
chemotherapeutic	1.71	2	2	0.857142857142857	7	2,2,2,2,0,2,2
gladiatorial	1.71	2	3	0.285714285714286	7	0,2,1,1,2,3,3
windstorm	1.71	2	2	0.857142857142857	7	0,2,2,2,2,2,2
urged	1.71	2	2	0.428571428571429	7	3,1,2,2,1,1,2
wheeze	1.71	2	2	0.714285714285714	7	2,2,1,1,2,2,2
bombshell	1.71	2	2	0.428571428571429	7	3,1,2,1,2,2,1
disinheritance	1.71	2	2	0.714285714285714	7	2,2,2,1,2,1,2
political	1.71	2	3	0.428571428571429	7	0,1,1,3,3,1,3
haste	1.71	2	2	0.714285714285714	7	2,1,2,1,2,2,2
allegiant	1.71	2	3	0.571428571428571	7	0,0,3,0,3,3,3
sodomite	1.71	2	3	0.285714285714286	7	3,3,2,2,0,1,1
wrathful	1.71	2	2	0.571428571428571	7	0,2,3,2,1,2,2
autointoxication	1.71	2	2	0.428571428571429	7	2,2,0,2,3,0,3
wreck	1.71	2	2	0.714285714285714	7	2,1,2,1,2,2,2
wanton	1.71	2	2	0.714285714285714	7	1,2,2,2,2,1,2
hogtie	1.71	2	2	0.571428571428571	7	2,1,0,2,2,2,3
friendlessness	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
machination	1.71	2	2	0.714285714285714	7	1,2,2,2,1,2,2
tyranny	1.71	2	1	0.571428571428571	7	3,3,2,1,1,1,1
flummox	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
ballistic	1.71	2	2	0.571428571428571	7	1,0,2,2,3,2,2
ejaculator	1.71	2	3	0.428571428571429	7	1,0,3,3,1,1,3
infector	1.71	2	2	0.571428571428571	7	2,1,2,0,2,3,2
scandal	1.71	2	2	0.428571428571429	7	1,2,1,3,2,2,1
untactful	1.71	2	2	0.857142857142857	7	2,2,2,0,2,2,2
mortality	1.71	2	2	0.714285714285714	7	2,2,1,2,2,1,2
gutless	1.71	2	2	0.714285714285714	7	2,1,2,2,2,2,1
onerously	1.71	2	2	0.857142857142857	7	0,2,2,2,2,2,2
fluster	1.71	2	2	0.714285714285714	7	1,2,2,2,2,2,1
avenge	1.71	2	2	0.571428571428571	7	2,2,1,2,2,3,0
growling	1.71	2	2	0.714285714285714	7	2,2,2,1,2,2,1
overload	1.71	2	2	0.714285714285714	7	2,2,1,1,2,2,2
turncoat	1.71	2	2	0.714285714285714	7	1,2,2,2,2,1,2
villainess	1.71	2	3	0.428571428571429	7	1,1,0,3,3,3,1
pupillary	1.71	2	3	0.571428571428571	7	0,0,3,3,3,3,0
scam	1.71	2	2	0.714285714285714	7	1,2,2,2,2,1,2
embolism	1.71	2	2	0.411764705882353	17	3,2,2,3,0,0,0,0,0,2,3,2,3,2,2,3,2
rancorous	1.71	2	2	0.428571428571429	7	1,1,2,2,3,2,1
flurried	1.71	2	2	0.714285714285714	7	2,1,2,2,2,1,2
dishearten	1.71	2	2	0.428571428571429	7	2,1,2,3,1,1,2
decomposition	1.71	2	3	0.285714285714286	7	1,0,2,1,3,2,3
jailhouse	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
befuddled	1.71	2	2	0.714285714285714	7	1,2,2,2,1,2,2
repressive	1.71	2	2	0.857142857142857	7	0,2,2,2,2,2,2
hangup	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
vindictiveness	1.71	2	2	0.714285714285714	7	2,1,2,2,2,2,1
scandalous	1.71	2	2	0.714285714285714	7	1,2,2,2,2,2,1
apprehensively	1.71	2	2	0.714285714285714	7	2,1,2,2,1,2,2
deflower	1.71	2	2	0.857142857142857	7	0,2,2,2,2,2,2
scabies	1.71	2	2	0.428571428571429	7	2,2,2,1,3,1,1
downheartedly	1.71	2	2	0.428571428571429	7	0,0,2,3,2,2,3
vacillator	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
supercilious	1.71	2	2	0.571428571428571	7	0,3,1,2,2,2,2
gunfight	1.71	2	2	0.857142857142857	7	2,2,2,0,2,2,2
deadlines	1.71	2	2	0.428571428571429	7	2,1,2,1,1,3,2
pouncer	1.71	2	3	0.571428571428571	7	0,0,0,3,3,3,3
shakily	1.71	2	2	0.857142857142857	7	0,2,2,2,2,2,2
insurrectionist	1.71	2	2	0.857142857142857	7	2,2,2,2,2,0,2
unglued	1.71	2	2	0.857142857142857	7	2,2,2,0,2,2,2
subjugate	1.71	2	2	0.857142857142857	7	2,2,2,2,2,0,2
eeriness	1.71	2	2	0.428571428571429	7	2,2,1,3,1,1,2
sweating	1.71	2	2	0.714285714285714	7	1,2,2,1,2,2,2
croup	1.71	2	2	0.428571428571429	7	2,2,2,3,1,1,1
scammer	1.71	2	2	0.428571428571429	7	2,1,2,1,2,3,1
minesweeping	1.71	2	2	0.857142857142857	7	0,2,2,2,2,2,2
hailstorm	1.71	2	2	0.857142857142857	7	2,2,2,2,0,2,2
munitions	1.71	2	2	0.428571428571429	7	2,2,0,3,0,3,2
inadvisability	1.71	2	2	0.428571428571429	7	0,2,2,2,3,3,0
hypothalamic	1.71	2	3	0.571428571428571	7	0,0,0,3,3,3,3
worrying	1.71	2	2	0.714285714285714	7	2,1,2,2,1,2,2
lice	1.71	2	2	0.714285714285714	7	2,2,1,2,2,1,2
fights	1.71	2	2	0.857142857142857	7	2,2,2,2,0,2,2
fumbler	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
dispirited	1.71	2	3	0.285714285714286	7	1,0,3,3,2,1,2
interrogational	1.71	2	2	0.714285714285714	7	1,2,2,2,2,2,1
burdensome	1.71	2	2	0.714285714285714	7	1,2,2,2,1,2,2
crucify	1.71	2	3	0.428571428571429	7	0,3,0,1,3,2,3
amuck	1.71	2	2	0.571428571428571	14	2,2,1,2,1,2,1,1,2,2,2,3,1,2
monster	1.71	2	1	0.470588235294118	102	3,1,2,1,2,2,1,1,2,2,1,2,3,2,1,1,2,2,3,2,1,3,1,3,2,1,1,2,2,1,2,1,1,2,1,2,3,2,3,1,2,2,1,2,1,1,3,2,2,1,2,1,3,2,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,3,1,1,1,2,2,1,1,1,1,3,1,1,2,3,2,3,3,3,3,2,2,3,2
dolor	1.71	2	2	0.411764705882353	17	0,0,2,1,0,3,3,3,1,2,2,2,2,2,2,3,1
unthinkably	1.71	2	2	0.357142857142857	14	2,1,1,1,2,1,3,1,3,2,2,0,3,2
defibrillator	1.71	2	2	0.714285714285714	7	1,2,2,2,2,1,2
hypercritical	1.71	2	2	0.714285714285714	7	2,2,2,2,1,1,2
racialist	1.71	2	2	0.714285714285714	7	2,1,1,2,2,2,2
provoke	1.71	2	2	0.571428571428571	7	0,1,2,3,2,2,2
deliriously	1.71	2	2	0.428571428571429	7	2,2,2,0,3,3,0
frustration	1.71	2	2	0.434343434343434	99	2,2,2,2,3,2,2,1,1,2,2,2,1,3,2,2,1,2,2,2,2,3,2,0,2,3,2,2,1,3,0,3,1,0,1,2,3,0,1,2,2,1,0,3,2,2,1,2,1,1,2,3,1,1,2,3,3,1,3,2,3,1,2,2,1,3,0,2,1,1,0,0,3,2,0,3,1,1,1,0,2,3,0,1,2,2,1,2,2,2,1,1,2,2,3,2,3,2,2
cryogenic	1.71	2	3	0.571428571428571	7	0,0,0,3,3,3,3
firetrap	1.71	2	2	0.428571428571429	7	2,1,1,2,3,2,1
wretch	1.71	2	3	0.411764705882353	17	0,0,2,0,1,0,0,3,3,3,3,1,3,3,3,2,2
bombers	1.71	2	3	0.357142857142857	14	0,1,0,3,3,0,1,3,3,3,1,2,2,2
chickenshit	1.71	2	2	0.428571428571429	7	2,2,2,3,0,0,3
asthma	1.71	2	2	0.714285714285714	7	1,2,2,2,1,2,2
intoxicative	1.71	2	2	0.714285714285714	7	2,2,2,2,2,1,1
predator	1.71	2	2	0.714285714285714	7	2,1,2,2,1,2,2
pugilistic	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
mangled	1.71	2	2	0.571428571428571	7	0,3,2,1,2,2,2
lacerate	1.71	2	3	0.428571428571429	7	1,0,0,3,3,3,2
bloodied	1.71	2	2	0.428571428571429	7	3,2,0,3,2,0,2
postoperative	1.71	2	1	0.571428571428571	7	1,2,1,1,1,3,3
prosecute	1.71	2	2	0.428571428571429	7	1,1,2,1,3,2,2
witter	1.71	2	3	0.571428571428571	7	0,0,0,3,3,3,3
stutterer	1.71	2	2	0.714285714285714	7	1,1,2,2,2,2,2
orthodontia	1.70	2	3	0.4	10	0,0,1,2,0,3,2,3,3,3
bane	1.70	2	2	0.6	10	2,2,2,2,1,0,1,2,3,2
cellulitis	1.70	2	2	0.5	10	1,2,3,2,2,0,0,2,2,3
bronchoscope	1.70	2	2	0.5	10	1,2,3,0,2,0,3,2,2,2
leeches	1.70	2	2	0.7	10	2,2,1,1,2,2,2,1,2,2
ulcer	1.70	2	2	0.7	10	2,2,1,2,1,1,2,2,2,2
aggressor	1.70	2	2	0.6	10	1,2,0,1,2,2,2,2,3,2
traitor	1.70	2	2	0.7	10	2,1,1,2,1,2,2,2,2,2
hepatitis	1.70	2	2	0.6	10	1,1,2,3,0,2,2,2,2,2
illicitness	1.70	2	2	0.7	10	0,2,2,0,3,2,2,2,2,2
stranded	1.70	2	2	0.5	10	2,2,1,1,1,2,1,2,2,3
blackout	1.70	2	2	0.8	10	2,2,2,2,2,2,1,2,2,0
abduct	1.70	2	2	0.8	10	0,2,1,2,2,2,2,2,2,2
inexorableness	1.70	2	2	0.6	10	1,2,2,2,1,2,2,0,3,2
hallucinogenic	1.70	2	2	0.7	10	2,1,2,1,2,1,2,2,2,2
casualty	1.70	2	3	0.5	10	2,0,0,0,0,3,3,3,3,3
riot	1.70	2	2	0.7	10	2,2,2,3,2,0,2,2,2,0
overextend	1.70	2	2	0.8	10	2,0,2,2,1,2,2,2,2,2
tragically	1.70	2	2	0.8	10	2,2,2,1,0,2,2,2,2,2
barbarism	1.70	2	2	0.4	10	3,2,0,2,2,3,1,2,1,1
eradicate	1.70	2	2	0.5	10	3,2,1,2,2,0,3,0,2,2
tampering	1.70	2	2	0.7	10	1,1,2,2,2,2,1,2,2,2
thunderbolt	1.70	2	2	0.5	10	2,1,1,1,2,2,1,2,2,3
tussle	1.70	2	2	0.7	10	1,2,2,2,2,1,2,2,2,1
curse	1.70	2	3	0.4	10	2,0,1,1,0,1,3,3,3,3
nullification	1.70	2	2	0.7	10	2,1,1,2,2,2,2,2,1,2
uproarious	1.70	2	2	0.6	10	2,0,1,2,1,2,2,2,3,2
rioter	1.70	2	2	0.8	10	2,1,2,0,2,2,2,2,2,2
diatribe	1.70	2	1	0.5	10	1,1,1,1,1,3,3,3,3,0
cruel	1.70	2	3	0.4	10	0,3,1,0,1,3,1,3,2,3
enthrallment	1.70	2	2	0.7	10	2,2,1,1,2,2,2,2,2,1
auditions	1.70	2	2	0.7	10	1,2,1,2,2,1,2,2,2,2
pornography	1.70	2	2	0.7	10	2,2,2,2,1,2,2,2,1,1
apostate	1.70	2	2	0.6	10	2,1,3,2,2,1,2,0,2,2
stigmatize	1.70	2	2	0.6	10	0,1,2,1,2,2,2,2,2,3
retaliate	1.70	2	2	0.7	10	2,0,2,2,3,2,0,2,2,2
grrrrr	1.70	2	2	0.6	10	0,2,2,2,2,2,1,3,1,2
beware	1.70	2	2	0.8	10	0,2,2,2,1,2,2,2,2,2
sweltering	1.70	2	2	0.5	10	2,2,1,1,2,3,2,1,1,2
bigot	1.70	2	2	0.6	10	2,1,1,2,2,2,2,3,0,2
jaws	1.70	2	3	0.3	10	2,0,1,0,1,3,3,2,3,2
fight	1.70	2	2	0.7	10	2,2,2,2,2,2,1,1,2,1
unfortunately	1.70	2	1	0.5	10	1,1,1,1,0,3,3,3,1,3
idiocy	1.70	2	1	0.4	10	1,1,1,3,3,2,0,2,3,1
muddleheaded	1.70	2	3	0.4	10	0,0,1,1,2,3,3,1,3,3
senseless	1.70	2	2	0.4	10	2,1,2,3,1,1,2,3,2,0
larcenist	1.70	2	1	0.4	10	2,3,3,2,3,1,1,1,0,1
preoperative	1.70	2	2	0.7	10	2,2,1,2,2,2,2,1,2,1
guts	1.70	2	3	0.5	10	0,1,1,0,0,3,3,3,3,3
fiendish	1.70	2	2	0.6	10	2,1,1,2,2,2,3,0,2,2
horseshit	1.70	2	3	0.4	10	0,2,0,3,1,3,2,3,3,0
bewildered	1.70	2	2	0.7	10	2,1,2,2,2,2,1,1,2,2
weeping	1.70	2	2	0.4	10	2,0,2,2,1,3,1,1,2,3
weaponry	1.70	2	3	0.3	10	0,0,1,3,1,2,2,3,3,2
pugnacity	1.70	2	2	0.7	10	2,1,2,2,1,1,2,2,2,2
alzheimers	1.70	2	2	0.5	10	2,1,2,2,3,2,3,0,0,2
battlefront	1.70	2	2	0.7	10	0,2,2,2,2,2,2,2,0,3
thunder	1.70	2	2	0.8	10	1,2,2,0,2,2,2,2,2,2
perpetration	1.70	2	1	0.5	10	2,1,1,2,1,3,1,1,3,2
coronary	1.70	2	2	0.7	10	1,2,2,2,2,2,2,2,1,1
vulnerability	1.70	2	2	0.7	10	2,2,2,1,2,2,1,2,1,2
frigid	1.69	2	2	0.769230769230769	13	2,2,2,2,0,2,2,2,2,1,2,2,1
reprehension	1.69	2	1	0.538461538461538	13	1,1,1,1,3,1,1,1,2,3,3,2,2
disconcertion	1.69	2	2	0.615384615384615	13	0,2,2,2,3,2,2,2,1,2,1,1,2
precipitance	1.69	2	3	0.384615384615385	13	3,3,3,3,2,0,2,0,3,2,0,0,1
snowmageddon	1.69	2	3	0.307692307692308	13	0,0,0,3,3,2,2,2,3,1,3,1,2
slaved	1.69	2	3	0.384615384615385	13	0,1,1,1,3,3,3,0,3,2,1,3,1
unfriendly	1.69	2	2	0.692307692307692	13	2,1,1,1,2,2,2,1,2,2,2,2,2
terminally	1.69	2	3	0.375	16	1,2,3,0,3,3,3,1,3,2,1,0,2,0,3,0
crossbones	1.69	2	2	0.461538461538462	13	3,2,2,2,2,1,0,3,2,1,2,1,1
tremble	1.69	2	2	0.846153846153846	13	2,2,2,2,2,2,2,2,2,2,0,2,0
fancies	1.67	2	3	0.5	6	0,3,0,3,3,1
powerlessly	1.67	2	2	0.5	6	2,2,0,2,3,1
inequity	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
battered	1.67	2	2	0.444444444444444	9	1,2,2,2,2,1,1,3,1
dissociation	1.67	2	2	0.666666666666667	9	1,2,1,1,2,2,2,2,2
electromotor	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
thunderhead	1.67	2	1	0.5	6	2,2,1,1,3,1
overweigh	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
detainment	1.67	2	3	0.5	6	0,1,0,3,3,3
disruptiveness	1.67	2	2	0.666666666666667	9	1,1,2,2,1,2,2,2,2
disabled	1.67	2	2	0.666666666666667	6	2,1,2,1,2,2
mercurial	1.67	2	1	0.4	15	1,1,1,0,3,3,3,3,3,2,1,2,1,1,0
euthanasia	1.67	2	2	0.666666666666667	9	2,2,2,1,2,2,2,1,1
unreliable	1.67	2	2	0.666666666666667	9	1,1,1,2,2,2,2,2,2
deterioration	1.67	2	2	0.555555555555556	9	2,2,1,1,2,0,2,2,3
sneezer	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
jumpy	1.67	2	2	0.666666666666667	6	2,2,1,1,2,2
overemotional	1.67	2	1	0.5	12	2,1,1,1,3,2,2,2,1,3,1,1
humpty	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
menopausal	1.67	2	2	0.5	6	1,2,3,2,0,2
hyperactive	1.67	2	2	0.777777777777778	9	0,2,1,2,2,2,2,2,2
restlessly	1.67	2	2	0.666666666666667	9	1,2,2,2,2,2,2,1,1
impishly	1.67	2	2	0.666666666666667	6	1,2,1,2,2,2
slam	1.67	2	2	0.666666666666667	9	1,2,1,1,2,2,2,2,2
infertility	1.67	2	2	0.666666666666667	9	2,2,2,2,2,1,1,2,1
morbid	1.67	2	2	0.444444444444444	9	3,1,1,2,1,2,1,2,2
conceptualist	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
exorcize	1.67	2	3	0.333333333333333	9	0,1,2,2,1,3,3,3,0
cytomegalovirus	1.67	2	1	0.504065040650406	123	3,1,3,2,3,3,2,2,2,1,1,2,2,1,1,3,2,1,2,2,2,3,2,1,1,3,3,2,1,2,2,1,1,1,2,2,3,2,3,2,1,1,3,2,2,2,1,3,2,1,1,3,1,2,1,2,3,2,1,3,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,3,1,2,3,1,1,1,1,2,3,2,1,1,3,1,1,1,1,2,1,2,1,1,2,1,1,1,3,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,3,1,1,1,1
bigotedly	1.67	2	2	0.555555555555556	9	1,3,2,2,1,0,2,2,2
fracture	1.67	2	2	0.75	12	2,0,2,2,1,2,2,2,2,2,1,2
unhelpful	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
displaced	1.67	2	2	0.5	6	2,2,3,0,2,1
trespasser	1.67	2	1	0.5	6	2,3,2,1,1,1
evacuative	1.67	2	3	0.333333333333333	6	2,0,0,3,3,2
giddily	1.67	2	2	0.666666666666667	9	1,2,1,2,1,2,2,2,2
housebreak	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
encumber	1.67	2	2	0.75	12	2,1,2,2,1,0,2,2,2,2,2,2
defamed	1.67	2	1	0.5	6	1,1,1,3,2,2
passenger	1.67	2	3	0.555555555555556	9	0,0,0,0,3,3,3,3,3
hiss	1.67	2	3	0.333333333333333	6	1,2,3,3,0,1
gunrunner	1.67	2	2	0.666666666666667	6	2,1,2,2,2,1
soangry	1.67	2	2	0.833333333333333	6	2,2,2,0,2,2
destructiveness	1.67	2	2	0.5	6	3,1,2,2,2,0
trump	1.67	2	3	0.555555555555556	9	0,0,0,0,3,3,3,3,3
volcanically	1.67	2	2	0.5	6	0,3,1,2,2,2
jetliner	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
incitement	1.67	2	2	0.666666666666667	9	2,2,1,1,1,2,2,2,2
skydiver	1.67	2	3	0.5	6	3,1,0,3,3,0
malpractitioner	1.67	2	2	0.5	6	2,1,0,3,2,2
footrace	1.67	2	3	0.5	6	0,1,0,3,3,3
culpability	1.67	2	2	0.666666666666667	9	2,1,1,1,2,2,2,2,2
hasty	1.67	2	2	0.666666666666667	9	1,1,2,1,2,2,2,2,2
transferee	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
shaky	1.67	2	2	0.666666666666667	9	2,2,2,2,1,1,2,2,1
blitz	1.67	2	2	0.666666666666667	9	2,2,2,1,1,1,2,2,2
battled	1.67	2	2	0.555555555555556	9	0,1,1,3,2,2,2,2,2
bedevilment	1.67	2	2	0.666666666666667	9	2,2,2,2,1,2,2,1,1
potboiler	1.67	2	3	0.555555555555556	9	0,0,0,0,3,3,3,3,3
excessive	1.67	2	2	0.444444444444444	9	1,1,2,2,2,3,1,2,1
counterstroke	1.67	2	2	0.666666666666667	6	1,2,2,2,2,1
tremulous	1.67	2	2	0.555555555555556	9	2,0,1,1,2,3,2,2,2
monstrous	1.67	2	2	0.666666666666667	12	2,2,1,2,0,2,2,0,2,2,3,2
overindulge	1.67	2	2	0.666666666666667	9	2,1,1,2,2,1,2,2,2
provocatively	1.67	2	2	0.5	6	1,2,3,0,2,2
pressing	1.67	2	2	0.666666666666667	9	1,1,1,2,2,2,2,2,2
teethe	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
titanic	1.67	2	2	0.388888888888889	36	1,3,2,3,1,1,2,1,1,1,1,2,2,2,3,1,1,2,2,1,2,2,1,3,2,1,2,1,1,3,2,3,0,2,0,2
sulfide	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
circumstantiate	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
disharmonize	1.67	2	3	0.333333333333333	6	1,0,2,1,3,3
gnarl	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
trepidation	1.67	2	2	0.777777777777778	9	2,2,0,1,2,2,2,2,2
shudder	1.67	2	2	0.666666666666667	9	1,2,2,1,2,2,2,2,1
eugenic	1.67	2	2	0.555555555555556	9	1,2,0,2,1,2,2,3,2
combust	1.67	2	2	0.555555555555556	9	1,2,3,1,2,0,2,2,2
rampant	1.67	2	2	0.666666666666667	6	1,2,2,2,2,1
relentlessly	1.67	2	2	0.666666666666667	9	2,2,2,1,2,1,2,1,2
gullibly	1.67	2	2	0.666666666666667	6	1,2,2,2,2,1
intolerantly	1.67	2	2	0.666666666666667	3	2,1,2
irritation	1.67	2	2	0.666666666666667	9	2,1,2,2,2,2,1,2,1
prudentially	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
dominator	1.67	2	2	0.666666666666667	6	1,1,2,2,2,2
fearing	1.67	2	2	0.333333333333333	9	1,1,0,3,1,2,3,2,2
redelivery	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
regurgitate	1.67	2	2	0.666666666666667	6	2,1,2,2,2,1
unfunded	1.67	2	3	0.5	6	1,0,3,0,3,3
crasher	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
faked	1.67	2	2	0.666666666666667	3	2,1,2
unhygienic	1.67	2	2	0.666666666666667	6	2,2,1,2,1,2
epileptically	1.67	2	3	0.333333333333333	6	2,1,1,3,0,3
deprival	1.67	2	3	0.333333333333333	6	3,1,2,0,3,1
lawlessness	1.67	2	2	0.833333333333333	6	2,2,2,0,2,2
fumigation	1.67	2	2	0.444444444444444	9	1,1,2,1,2,1,3,2,2
somad	1.67	2	3	0.555555555555556	9	0,0,0,0,3,3,3,3,3
dissertation	1.67	2	3	0.444444444444444	9	1,0,1,0,1,3,3,3,3
violation	1.67	2	2	0.666666666666667	9	2,0,2,3,0,2,2,2,2
tizzy	1.67	2	2	0.666666666666667	6	1,1,2,2,2,2
thrusters	1.67	2	3	0.555555555555556	9	0,0,0,0,3,3,3,3,3
untenable	1.67	2	2	0.777777777777778	9	2,0,2,2,2,2,2,1,2
guideless	1.67	2	2	0.666666666666667	6	1,1,2,2,2,2
swelter	1.67	2	2	0.666666666666667	9	2,2,2,1,1,2,1,2,2
wickless	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
dissonant	1.67	2	2	0.833333333333333	6	0,2,2,2,2,2
scolding	1.67	2	2	0.666666666666667	12	2,2,2,1,2,2,2,1,2,1,1,2
misogyny	1.67	2	2	0.5	6	2,0,2,3,2,1
flagrantly	1.67	2	3	0.333333333333333	6	2,1,3,0,1,3
despotic	1.67	2	2	0.333333333333333	9	3,2,2,1,0,3,1,1,2
shyness	1.67	2	2	0.666666666666667	6	1,2,2,2,2,1
